dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,1000,0.0001,1.8205297109670937,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,3000,0.0001,1.0355959148146212,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,3000,0.0001,1.585811214055866,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,3000,0.0001,1.843952250899747,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,5000,0.0001,1.0429586509708315,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,5000,0.0001,1.5907974729780108,0,3.0,1.0,1.0,4.685932568759298e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,5000,0.0001,1.848323832033202,2,2.0,1.0,1.0,2.8238322372954524e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,50,1e-06,1.08491381094791,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,50,1e-06,1.8992640951182693,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,50,1e-06,2.2125624099280685,2,5.0,1.0,1.0,4.113943080704724e-11
blobs,0,single(f32),l2,0.0,0.001,lbfgs,10000,100,1e-06,1.0622583841904998,2,,1.0,1.0,1.849000407901138e-12
blobs,0,double(f64),l2,0.0,0.001,lbfgs,10000,100,1e-06,1.9183196448720992,0,5.0,1.0,0.9999999999999999,4.1270550251696343e-11
blobs,0,hybrid(f32→f64),l2,0.0,0.001,lbfgs,10000,100,1e-06,2.1536566361319274,2,5.0,1.0,1.0,4.113943080704724e-11
