DatasetName,DatasetSize,NumClusters,NumFeatures,Suite,SweepVal,Mode,SwitchIter,Time,Memory_MB,ARI,DBI,Inertia,CenterDiff
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.3228487968444824,0.2020680790577374,1000.0,1.0199960745490675,2.4,2726584.916874916,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,79.0,0.295673131942749,3.5999999999999996,0.20207290312944437,1.0199920155146933,2726584.649608209,0.5125915415632954
SYNTH_K30_n100k,100000,5,3,B,0.1,Double,0.32945680618286133,0.20206556532807932,1000.0,1.0200015554500181,2.4,2726584.8144404553,0.0
SYNTH_K30_n100k,100000,5,3,B,0.1,AdaptiveHybrid,112.0,0.31337618827819824,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726592.96406472,0.4811802936933264
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,0.4915506839752197,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726586.120173118,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,447.0,1.3621208667755127,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726584.157558287,0.03429750393369412
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,1.2941570281982422,0.2020825601885557,1000.0,1.0199969195634981,2.4,2726609.7349896925,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,440.0,1.357860803604126,3.5999999999999996,0.20207038921591486,1.0199974962001284,2726585.15348838,0.07633444782808389
SYNTH_K30_n100k,100000,5,3,B,0.001,Double,1.393456220626831,0.2020801954499195,1000.0,1.0199963969495187,2.4,2726584.9008515705,0.0
SYNTH_K30_n100k,100000,5,3,B,0.001,AdaptiveHybrid,126.0,0.4580059051513672,3.5999999999999996,0.2020680790577374,1.0199960745490675,2726584.7063811277,0.0082106394925988
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.36790895462036133,0.2020801954499195,1000.0,1.0199963969495187,2.4,2726595.1430246453,0.0
SYNTH_K30_n100k,100000,5,3,B,1e-05,AdaptiveHybrid,78.0,0.35912036895751953,3.5999999999999996,0.20209470382364406,1.019990909588863,2726584.180904965,0.012146700308092824
SYNTH_K30_n100k,100000,5,3,B,1e-05,Double,0.2854764461517334,0.20207053806031572,1000.0,1.0199914927064144,2.4,2726585.482964076,0.0
