dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss,C,error
susy,0,ERROR,l2,0.0,0.01,lbfgs,10000,,0.0001,,,,,,,,Option 'optim iteration limit': value out-of-bounds
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,200.0,0.0001,0.04788275808095932,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,200.0,0.0001,0.4708164780167863,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,200.0,0.0001,0.5407874940428883,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,400.0,0.0001,0.048512877081520855,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,400.0,0.0001,0.4912435569567606,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,400.0,0.0001,0.5523004779824987,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,500.0,0.0001,0.04861943598370999,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,500.0,0.0001,0.5937789810122922,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500.0,0.0001,0.7087698949035257,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,800.0,0.0001,0.04920276103075594,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,800.0,0.0001,0.5404182840138674,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,800.0,0.0001,0.5924221419263631,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000.0,0.0001,0.0484643749659881,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000.0,0.0001,0.47661309700924903,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000.0,0.0001,0.5600570020033047,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,2000.0,0.0001,0.04975030093919486,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,2000.0,0.0001,0.482044073054567,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,2000.0,0.0001,0.580618639010936,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000.0,0.0001,0.0807697840500623,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000.0,0.0001,0.5096012580906972,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000.0,0.0001,0.5538540589623153,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,4000.0,0.0001,0.04850114800501615,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,4000.0,0.0001,0.47130133700557053,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,4000.0,0.0001,0.5428390679880977,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000.0,0.0001,0.04840149998199195,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000.0,0.0001,0.4739340959349647,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000.0,0.0001,0.5409266230417415,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,6000.0,0.0001,0.04840522794984281,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,6000.0,0.0001,0.4706479369197041,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,6000.0,0.0001,0.540571813005954,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
