dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,50,0.001,5.044782783836126,0,31.0,1.0,1.0000000000000002,8.847516180790455e-09
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,50,0.001,5.739859014051035,27,7.0,1.0,1.0,9.102377381512982e-09
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,100,0.001,3.6203244840726256,27,,1.0,0.9999999999999998,3.1799905147148965e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,100,0.001,4.79926167614758,0,31.0,1.0,1.0000000000000002,8.847516180790455e-09
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,100,0.001,5.559070721035823,27,7.0,1.0,1.0,9.102377381512982e-09
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,250,0.001,3.5964858669321984,27,,1.0,0.9999999999999998,3.1799905147148965e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,250,0.001,4.661878953920677,0,31.0,1.0,1.0000000000000002,8.847516180790455e-09
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,250,0.001,5.41778426989913,27,7.0,1.0,1.0,9.102377381512982e-09
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,500,0.001,3.8302210720721632,27,,1.0,0.9999999999999998,3.1799905147148965e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,500,0.001,4.920205638976768,0,31.0,1.0,1.0000000000000002,8.847516180790455e-09
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500,0.001,6.492705150041729,27,7.0,1.0,1.0,9.102377381512982e-09
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000,0.001,5.18472117302008,27,,1.0,0.9999999999999998,3.1799905147148965e-08
uniform,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000,0.001,4.884771907934919,0,31.0,1.0,1.0000000000000002,8.847516180790455e-09
uniform,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000,0.001,5.717936858069152,27,7.0,1.0,1.0,9.102377381512982e-09
uniform,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000,0.001,3.814386828802526,27,,1.0,0.9999999999999998,3.1799905147148965e-08
