dataset,repeat,approach,penalty,alpha,lambda,C,solver,max_iter,tol,error,max_iter_single,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,500.0,0.04654662206303328,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,500.0,0.1032438640249893,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,500.0,0.26676589297130704,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,800.0,0.06391407502815127,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,800.0,0.06962563400156796,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,800.0,0.2620565330144018,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,1000.0,0.04584945598617196,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,1000.0,0.07074000500142574,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,1000.0,0.22090559196658432,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,2000.0,0.04546089400537312,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,2000.0,0.0975259809056297,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,2000.0,0.22407901601400226,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-06,,3000.0,0.04560585995204747,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-06,,3000.0,0.10694804403465241,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-06,,3000.0,0.2230099820299074,,,1.0,1.0,2.0187892623450243e-06
gaussian,0,ERROR,l2,0.0,0.01,,lbfgs,3000,1e-08,Option 'optim iteration limit': value out-of-bounds,,,,,,,
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,50.0,0.08304612699430436,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,50.0,0.07274595100898296,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,50.0,0.4519598010228947,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,100.0,0.09585509495809674,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,100.0,0.10242163203656673,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,100.0,0.6428098779870197,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,200.0,0.09105216001626104,16.0,6.0,1.0,1.0,2.0196579644894295e-06
gaussian,0,multistage-IR,l2,0.0,0.01,,lbfgs,3000,1e-08,,200.0,0.13698531000409275,,,1.0,1.0,2.0196579253260756e-06
gaussian,0,adaptive-precision,l2,0.0,0.01,,lbfgs,3000,1e-08,,200.0,0.5754776129033417,,,1.0,1.0,2.0189625886571505e-06
gaussian,0,hybrid(f32→f64),l2,0.0,0.01,,lbfgs,3000,1e-08,,500.0,0.07960048399399966,16.0,6.0,1.0,1.0,2.0196579644894295e-06
