DatasetName,DatasetSize,NumClusters,Mode,tolerance_single,ItersSingle,ItersDouble,Suite,Time,PeakMB,Inertia
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,0,653,Double,14.250254799844697,294.62528,21924968.94647125
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,268,279,Hybrid,9.32781538600102,294.494208,21925003.23869094
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,199,0,Single,2.406102139968425,294.395904,21719238.0
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,0,473,Double,10.568548870971426,294.62528,21925048.912060577
SYNTH_C_30_F_50_n100_000k_kmeans,100000,50,B,1e-09,221,153,Hybrid,6.015192326856777,294.494208,21925337.587235488
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,0,Single,0.11204999801702797,392.66304,11304094.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Double,20.7617287770845,392.9088,4701534.886243984
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Hybrid,21.070017535006627,392.749056,4702059.834269994
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,0,Single,0.054935052059590816,393.928704,6259422.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Double,20.78124230611138,433.95072,4702533.886985803
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Hybrid,21.314582313178107,393.949184,4701876.766206721
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,0,Single,0.05624322686344385,393.949184,11812198.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Double,21.139389688149095,392.884224,4702042.064840032
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.1,0,1000,Hybrid,20.808097051922232,392.749056,4701801.522036318
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,0,Single,0.06477147387340665,394.32192,4703713.5
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,0,1000,Double,20.930276757106185,434.352128,4702358.580886536
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,999,Hybrid,21.17898522806354,394.350592,4702170.414632412
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,0,Single,0.06670224899426103,394.350592,4703336.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,0,1000,Double,22.315389088820666,392.884224,4701981.848434017
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,999,Hybrid,23.088227793108672,392.749056,4701782.749120703
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,0,Single,0.06337954802438617,394.32192,5178041.5
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,0,1000,Double,20.89239038201049,434.356224,4702025.658534939
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.01,1,999,Hybrid,20.92540798918344,394.354688,4701979.20836118
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,23,0,Single,0.3165017939172685,394.354688,4684048.5
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,0,1000,Double,20.803202947136015,392.88832,4702251.952693819
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,22,978,Hybrid,20.664979406865314,392.753152,4702333.340177516
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,23,0,Single,0.31121719209477305,394.326016,4684105.5
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,0,1000,Double,21.071246712002903,434.356224,4702486.168304611
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,22,978,Hybrid,20.83502461295575,394.354688,4702080.126012051
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,22,0,Single,0.3186343680135906,394.354688,4684479.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,0,1000,Double,20.848265344044194,392.88832,4702314.394754788
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.001,23,977,Hybrid,20.97315186704509,392.753152,4702022.482638162
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.0001,459,0,Single,5.073976426851004,394.326016,4676808.0
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.0001,0,1000,Double,21.094652937958017,434.356224,4702082.960661357
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.0001,399,601,Hybrid,17.112504473188892,394.354688,4702227.067164204
SYNTH_C_5_F_50_n100_000k_kmeans,100000,50,B,0.0001,743,0,Single,8.33509916998446,394.354688,4676510.5
