approach,penalty,alpha,lambda,solver,max_iter_single,tol,time_sec,iters,roc_auc,pr_auc,logloss,loss_internal
hybrid(f32→f64),l2,0.0,0.01,lbfgs,150,1e-06,0.038428009022027254,8,1.0,1.0,1.561993593548436e-06,0.029938821311678958
multistage-IR,l2,0.0,0.01,lbfgs,150,1e-06,0.1987656489945948,0,1.0,1.0,1.5606735428543919e-06,0.02992388978600502
adaptive-precision,l2,0.0,0.01,lbfgs,150,1e-06,0.2791218609781936,1,1.0,1.0,1.5629742425295416e-06,0.029938810470355005
single(f32),l2,0.0,0.01,lbfgs,300,1e-06,0.03743081702850759,12,1.0,1.0,2.2234637415159825e-06,0.030508728697896004
double(f64),l2,0.0,0.01,lbfgs,300,1e-06,0.06539830309338868,20,1.0,1.0,1.5635744548379731e-06,0.02993882863889531
hybrid(f32→f64),l2,0.0,0.01,lbfgs,300,1e-06,0.0670495560625568,8,1.0,1.0,1.561993593548436e-06,0.029938821311678958
multistage-IR,l2,0.0,0.01,lbfgs,300,1e-06,0.1480685609858483,0,1.0,1.0,1.5606735428543919e-06,0.02992388978600502
adaptive-precision,l2,0.0,0.01,lbfgs,300,1e-06,0.2464755540713668,1,1.0,1.0,1.5629742425295416e-06,0.029938810470355005
single(f32),l2,0.0,0.1,lbfgs,150,0.0001,0.03677817096468061,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,150,0.0001,0.06984049594029784,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
hybrid(f32→f64),l2,0.0,0.1,lbfgs,150,0.0001,0.0754969329573214,5,1.0,1.0,1.101852446202145e-05,0.20967548023990162
multistage-IR,l2,0.0,0.1,lbfgs,150,0.0001,0.09487519098911434,0,1.0,1.0,1.101852430739718e-05,0.20967352390289307
adaptive-precision,l2,0.0,0.1,lbfgs,150,0.0001,0.10816692002117634,4,1.0,1.0,1.1025945702252843e-05,0.2096753805805274
single(f32),l2,0.0,0.1,lbfgs,300,0.0001,0.038137372001074255,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,300,0.0001,0.05931560497265309,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
hybrid(f32→f64),l2,0.0,0.1,lbfgs,300,0.0001,0.07011086097918451,5,1.0,1.0,1.101852446202145e-05,0.20967548023990162
multistage-IR,l2,0.0,0.1,lbfgs,300,0.0001,0.05010525695979595,0,1.0,1.0,1.101852430739718e-05,0.20967352390289307
adaptive-precision,l2,0.0,0.1,lbfgs,300,0.0001,0.06600373703986406,4,1.0,1.0,1.1025945702252843e-05,0.2096753805805274
single(f32),l2,0.0,0.1,lbfgs,150,1e-06,0.018155572935938835,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,150,1e-06,0.056280227028764784,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
hybrid(f32→f64),l2,0.0,0.1,lbfgs,150,1e-06,0.05216375598683953,7,1.0,1.0,1.102628513003563e-05,0.20967535304430063
multistage-IR,l2,0.0,0.1,lbfgs,150,1e-06,0.312767130904831,1,1.0,1.0,1.102332308644553e-05,0.20967534640521013
adaptive-precision,l2,0.0,0.1,lbfgs,150,1e-06,0.44018378702457994,1,1.0,1.0,1.1024882568824523e-05,0.2096753438182995
single(f32),l2,0.0,0.1,lbfgs,300,1e-06,0.017366557964123785,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,300,1e-06,0.02824267209507525,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
hybrid(f32→f64),l2,0.0,0.1,lbfgs,300,1e-06,0.03737412195187062,7,1.0,1.0,1.102628513003563e-05,0.20967535304430063
multistage-IR,l2,0.0,0.1,lbfgs,300,1e-06,0.3076397299300879,1,1.0,1.0,1.102332308644553e-05,0.20967534640521013
adaptive-precision,l2,0.0,0.1,lbfgs,300,1e-06,0.4391737839905545,1,1.0,1.0,1.1024882568824523e-05,0.2096753438182995
single(f32),l2,0.0,0.1,lbfgs,150,0.0001,0.01760604907758534,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,150,0.0001,0.02602942695375532,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
hybrid(f32→f64),l2,0.0,0.1,lbfgs,150,0.0001,0.035700077074579895,5,1.0,1.0,1.101852446202145e-05,0.20967548023990162
multistage-IR,l2,0.0,0.1,lbfgs,150,0.0001,0.0490095199784264,0,1.0,1.0,1.101852430739718e-05,0.20967352390289307
adaptive-precision,l2,0.0,0.1,lbfgs,150,0.0001,0.09716824605129659,4,1.0,1.0,1.1025945702252843e-05,0.2096753805805274
single(f32),l2,0.0,0.1,lbfgs,300,0.0001,0.018253615009598434,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,300,0.0001,0.026547366054728627,15,1.0,1.0,1.1026087055630533e-05,0.20967608932060294
hybrid(f32→f64),l2,0.0,0.1,lbfgs,300,0.0001,0.03655287402216345,5,1.0,1.0,1.101852446202145e-05,0.20967548023990162
multistage-IR,l2,0.0,0.1,lbfgs,300,0.0001,0.05539875500835478,0,1.0,1.0,1.101852430739718e-05,0.20967352390289307
adaptive-precision,l2,0.0,0.1,lbfgs,300,0.0001,0.08997585298493505,4,1.0,1.0,1.1025945702252843e-05,0.2096753805805274
single(f32),l2,0.0,0.1,lbfgs,150,1e-06,0.01800817099865526,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,150,1e-06,0.028448925935663283,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
hybrid(f32→f64),l2,0.0,0.1,lbfgs,150,1e-06,0.03757717797998339,7,1.0,1.0,1.102628513003563e-05,0.20967535304430063
multistage-IR,l2,0.0,0.1,lbfgs,150,1e-06,0.3602767731063068,1,1.0,1.0,1.102332308644553e-05,0.20967534640521013
adaptive-precision,l2,0.0,0.1,lbfgs,150,1e-06,0.4877940439619124,1,1.0,1.0,1.1024882568824523e-05,0.2096753438182995
single(f32),l2,0.0,0.1,lbfgs,300,1e-06,0.01721245190128684,11,1.0,1.0,1.091695303864306e-05,0.2099001109600067
double(f64),l2,0.0,0.1,lbfgs,300,1e-06,0.028396400972269475,18,1.0,1.0,1.102578926832023e-05,0.20967535798547957
hybrid(f32→f64),l2,0.0,0.1,lbfgs,300,1e-06,0.037262717029079795,7,1.0,1.0,1.102628513003563e-05,0.20967535304430063
multistage-IR,l2,0.0,0.1,lbfgs,300,1e-06,0.32613708707503974,1,1.0,1.0,1.102332308644553e-05,0.20967534640521013
adaptive-precision,l2,0.0,0.1,lbfgs,300,1e-06,0.44688890397083014,1,1.0,1.0,1.1024882568824523e-05,0.2096753438182995
